,ID,Country,Place.Name,Post.Code,Latitude,Longitude,First.IP.Number,Last.IP.Number
75,75,GH,Accra,NA,5.55,-0.2167,700293376,700293887
76,76,GH,Accra,NA,5.55,-0.2167,700294144,700294783
77,77,GH,Accra,NA,5.55,-0.2167,700294912,700295167
78,78,GH,Accra,NA,5.55,-0.2167,700295424,700295679
79,79,GH,Accra,NA,5.55,-0.2167,700340224,700340811
80,80,GH,Accra,NA,5.55,-0.2167,700340813,700341247
81,81,GH,Accra,NA,5.55,-0.2167,701628416,701628479
82,82,GH,Accra,NA,5.55,-0.2167,701628672,701628927
83,83,GH,Accra,NA,5.55,-0.2167,701629440,701629695
84,84,GH,Accra,NA,5.55,-0.2167,701631232,701631487
85,85,GH,Accra,NA,5.55,-0.2167,701632512,701633023
86,86,GH,Accra,NA,5.55,-0.2167,701636736,701636863
87,87,GH,Accra,NA,5.55,-0.2167,701642752,701644799
88,88,GH,Accra,NA,5.55,-0.2167,701694976,701695999
89,89,GH,Accra,NA,5.55,-0.2167,701999616,701999654
90,90,GH,Accra,NA,5.55,-0.2167,701999656,701999672
91,91,GH,Accra,NA,5.55,-0.2167,701999674,701999973
92,92,GH,Accra,NA,5.55,-0.2167,701999975,701999999
93,93,GH,Accra,NA,5.55,-0.2167,702000384,702000639
94,94,GH,Accra,NA,5.55,-0.2167,702201856,702206207
95,95,GH,Accra,NA,5.55,-0.2167,702206592,702206655
96,96,GH,Accra,NA,5.55,-0.2167,702207104,702207231
97,97,GH,Accra,NA,5.55,-0.2167,702207264,702207279
98,98,GH,Accra,NA,5.55,-0.2167,702208000,702208255
99,99,GH,Accra,NA,5.55,-0.2167,702209408,702209471
100,100,GH,Accra,NA,5.55,-0.2167,702209536,702210047
101,101,GH,Accra,NA,5.55,-0.2167,702214400,702214655
102,102,GH,Accra,NA,5.55,-0.2167,702214784,702214911
103,103,GH,Accra,NA,5.55,-0.2167,702474240,702474751
104,104,GH,Accra,NA,5.55,-0.2167,702475008,702475263
105,105,GH,Accra,NA,5.55,-0.2167,703754240,703754249
106,106,GH,Accra,NA,5.55,-0.2167,703754251,703755263
107,107,GH,Accra,NA,5.55,-0.2167,703760384,703760895
108,108,GH,Accra,NA,5.55,-0.2167,1063748608,1063749119
109,109,GH,Accra,NA,5.55,-0.2167,1101869056,1101869567
110,110,GH,Accra,NA,5.55,-0.2167,1347293537,1347293544
111,111,GH,Accra,NA,5.55,-0.2167,1347895808,1347896319
112,112,GH,Accra,NA,5.55,-0.2167,1347896832,1347897343
113,113,GH,Accra,NA,5.55,-0.2167,1347900160,1347900415
114,114,GH,Accra,NA,5.55,-0.2167,1347902048,1347902079
115,115,GH,Accra,NA,5.55,-0.2167,1753485568,1753485823
116,116,DZ,Algiers,NA,36.7631,3.0506,694429184,694429439
117,117,DZ,Algiers,NA,36.7631,3.0506,694617088,694618111
118,118,DZ,Algiers,NA,36.7631,3.0506,694711296,694712319
119,119,DZ,Algiers,NA,36.7631,3.0506,694955008,694956031
120,120,DZ,Algiers,NA,36.7631,3.0506,694984704,694985727
121,121,DZ,Algiers,NA,36.7631,3.0506,695003136,695004159
122,122,DZ,Algiers,NA,36.7631,3.0506,695018496,695019007
123,123,DZ,Algiers,NA,36.7631,3.0506,695023616,695024127
124,124,DZ,Algiers,NA,36.7631,3.0506,695062528,695063039
125,125,DZ,Algiers,NA,36.7631,3.0506,695066624,695067135
126,126,DZ,Algiers,NA,36.7631,3.0506,695162880,695163903
127,127,DZ,Algiers,NA,36.7631,3.0506,758886656,758886672
128,128,DZ,Algiers,NA,36.7631,3.0506,758886674,758886708
129,129,DZ,Algiers,NA,36.7631,3.0506,758886710,758886723
130,130,DZ,Algiers,NA,36.7631,3.0506,758886725,758886758
